"SID","lat_WGS84","long_WGS84","POINT_X","POINT_Y"
207301,34.062974,-93.413126,236980.234,1225239.529
207302,34.063452,-93.413109,236980.3368,1225292.976
207303,34.063977,-93.413109,236978.7398,1225351.632
207304,34.061719,-93.411846,237101.2834,1225102.506
207305,34.063284,-93.410872,237185.7245,1225279.787
207401,30.979982,-95.200018,76187.826,878560.3908
207402,30.980109,-95.19947,76239.8952,878574.9525
207403,30.980269,-95.198788,76304.6946,878593.2918
207404,30.980985,-95.199332,76252.2167,878672.4739
207405,30.981118,-95.198791,76303.6129,878687.6977
207501,31.506986,-93.238269,261279.4325,940671.4774
207502,31.505449,-93.2382,261290.9301,940500.6443
207503,31.506408,-93.23731,261372.0051,940609.8001
207504,31.505861,-93.238198,261289.7866,940546.4932
207505,31.506406,-93.238231,261284.9026,940607.0449
207601,34.399772,-92.407765,327619.2346,1265857.331
207602,34.399654,-92.407099,327680.4448,1265846.443
207603,34.399063,-92.406355,327750.7649,1265782.974
207604,34.398622,-92.406437,327745.154,1265733.418
207605,34.399169,-92.407177,327675.3841,1265791.983
207701,31.103089,-94.445822,147785.7326,893139.7737
207702,31.102907,-94.446218,147748.4117,893118.9167
207703,31.102556,-94.445971,147772.535,893080.2641
207704,31.102919,-94.446598,147712.2592,893119.6606
207705,31.102582,-94.446573,147715.249,893082.2198
207801,30.856577,-93.360868,251692.8997,868013.4584
207802,30.856794,-93.359956,251779.184,868039.99
207803,30.857005,-93.360865,251691.8645,868061.0311
207804,30.857956,-93.361381,251639.7316,868165.3519
207805,30.856185,-93.358732,251897.7672,867975.554
207806,30.856375,-93.360207,251756.5463,867992.7605
207807,30.857082,-93.358984,251870.9692,868074.5718
207808,30.857746,-93.359043,251863.2927,868148.2075
207901,30.598244,-93.996053,191731.557,837827.3673
207902,30.598541,-93.995784,191756.5943,837860.9042
207903,30.598026,-93.994972,191835.4791,837805.331
207904,30.597625,-93.995364,191798.9192,837759.9923
207905,30.596752,-93.994958,191839.8049,837663.8295
207906,30.597039,-93.995492,191788.0476,837694.6347
207907,30.596785,-93.994183,191913.8672,837669.0602
207908,30.598086,-93.994026,191925.8353,837813.9065
208001,31.03315,-93.483354,239494.4063,887323.7851
208002,31.033205,-93.483511,239479.3071,887329.5041
208003,31.032914,-93.485227,239316.9005,887292.8291
208004,31.033231,-93.485889,239252.9839,887326.4051
208101,30.942047,-93.372147,250354.7611,877483.0024
208102,30.941767,-93.371972,250372.2899,877452.3409
208103,30.94216,-93.373992,250178.6866,877490.7039
208104,30.942208,-93.373667,250209.4938,877496.8948
208201,30.661177,-93.955164,195492.6162,844902.3979
208202,30.661214,-93.955863,195425.7118,844905.0711
208203,30.660627,-93.955886,195424.9163,844839.8054
208204,30.660495,-93.955321,195479.2395,844826.3016
208301,31.463238,-94.422843,149305.5528,933243.9611
208302,31.463457,-94.42266,149322.4707,933268.6218
208303,31.462116,-94.423314,149263.0406,933118.3505
208304,31.462527,-94.423008,149291.2474,933164.5725
208401,33.251885,-91.770573,391402.9338,1140120.613
208402,33.252145,-91.770738,391386.383,1140148.932
